sexo,secc,n_obs,p_dir,sd_dir,cv_dir,vardir,x_act,x_cta,x_jef,x_alfa
H,10,2820,0.023390411888853206,0.003096063489984993,13.236464174709273,9.585609134018056e-6,0.6777948345957253,0.035763086421835726,0.16280639012129083,0.993419905183212
H,11,1882,0.1023022218429512,0.008374146351139247,8.185693526768931,7.012632711029877e-5,0.6882972823072657,0.03993344425956739,0.14691200939610452,0.9805520702634881
H,12,1009,0.003099067345391269,0.0017667738030645334,57.00985510017922,3.1214896711951145e-6,0.7032302405498282,0.033218785796105384,0.16210767468499426,0.9962624945675793
H,13,1712,0.1280891225259851,0.010467222702795449,8.171827940090692,1.0956275110991646e-4,0.6797157171152278,0.04811837352906909,0.141209367354072,0.9813871196036801
H,14,641,0.019878448231629067,0.006192916806709132,31.15392476589514,3.8352218574820435e-5,0.702985300803152,0.03417184421882103,0.1547204121836642,0.9956955305258627
H,15,509,0.00533569759973039,0.0037255178016435734,69.82250646722974,1.3879482890363164e-5,0.7333065810593901,0.03619582664526485,0.11556982343499198,0.99728555917481
H,16,894,0.09071807118205281,0.00989074183554779,10.902725010212214,9.782677405745528e-5,0.6890829694323144,0.04546622142306704,0.14693038787567428,0.9749095522247804
H,17,2095,0.12093586273354576,0.007733521960390657,6.394730054086343,5.980736191184455e-5,0.6860516714327975,0.04176116753771817,0.1355635538901489,0.975402674791102
H,18,1723,0.001653448183782837,0.0011576145789175094,70.01214735795736,1.3400715133223625e-6,0.6892577897070836,0.030925428871513595,0.15509394328393045,0.998238008670116
H,19,417,0.008345928514842359,0.004740779760151019,56.803503070030374,2.2474992734257553e-5,0.7161764705882353,0.03823529411764706,0.14663865546218488,0.9953089130651762
H,2,65,0.018938259775423287,0.0186008051177943,98.21813270263135,3.459899510301626e-4,0.7755102040816326,0.035918367346938776,0.09714285714285714,0.9906542056074766
H,20,1179,0.0704332548006411,0.007881701075321344,11.190312158127902,6.212121184072164e-5,0.67543622083800825,0.04004333191472898,0.17522343018532133,0.9898931353015759
H,21,1498,0.06357286274670426,0.006613346643587665,10.402782504757525,4.3736353828252236e-5,0.6829275569877074,0.040100250626566414,0.16320563313044517,0.9875881133379406
H,22,929,0.06349169404765938,0.00902910021024651,14.220915579081744,8.152465060667356e-5,0.6925505371963949,0.03452314272620806,0.16696369468913896,0.9896946564885496
H,23,392,0.007139636901134446,0.00498174916511402,69.77594566920412,2.4817824744114237e-5,0.6899468604272856,0.0367639084697972,0.1508513176445071,0.9978213507625272
H,24,1170,0.002077794801495412,0.0014453264211046967,69.56059472593151,2.088968463543311e-6,0.6982461696820935,0.03155310978265173,0.15669662298586642,0.9971244797578509
H,3,72,0.010952371036305147,0.010714493658527903,97.82807414952686,1.1480037435863464e-4,0.7432950191570882,0.030103995621237,0.13793103448275862,0.9963427377220481
H,4,147,0.007994515014345534,0.007869467560813062,98.43583440261125,6.192851969068909e-5,0.7419265033407573,0.032015590200445435,0.13780623608017817,0.9967707212055974
H,5,218,0.00680799894350303,0.006724471434202961,98.77309749908554,4.521851606941163e-5,0.7084447841039359,0.03611004967520061,0.15361100496752006,0.9979835013748855
H,7,343,0.013926051050441104,0.0068609896141377455,49.26730190264831,4.707317848530601e-5,0.7256368014193385,0.037637815232543406,0.12659992396400963,0.995725973867383
H,9,1032,0.053182528728668035,0.007473536477220483,14.052615879454926,5.5853747476345145e-5,0.685259756400696,0.04434501615709669,0.1448173005219985,0.9852585459358313
H,99,1241,0.10762785282936665,0.009717048175526348,9.028376874647652,9.442102524549993e-5,0.6952376862627216,0.041310602482071544,0.14076523382144543,0.9798755513547575
M,10,3482,0.024122082039760122,0.0028512565148675617,11.820109516947467,8.129663713574714e-6,0.5347529789247076,0.03872259320709183,0.23048444377408164,0.9948183823433442
M,11,2081,0.11404667617867041,0.00826276409748258,7.245072258430206,6.827327053064711e-5,0.48437137555091625,0.05773022500579912,0.19305265599628857,0.9857058412596056
M,12,1216,0.008788605531056723,0.00260937515679226,29.690434364944288,6.808838708884631e-6,0.5605039874731438,0.036779432649939915,0.24598521539638032,0.9965410013626358
M,13,1844,0.12851858775999558,0.009904183139341162,7.7064207691395685,9.809284365760976e-5,0.46844063750614334,0.0646633433967563,0.1879870813733062,0.987261970191717
M,14,792,0.017982478131330987,0.005358704523307394,29.79958871169646,2.871571416811512e-5,0.5648624130631993,0.0339885092228606,0.23912912004838222,0.9959535233250477
M,15,607,0.002043276055918215,0.0020147954215984625,98.60612890572176,4.0594005908941266e-6,0.5987838173243981,0.04399354678580293,0.20147679324894516,0.9973988264472808
M,16,960,0.0974525229117742,0.00978109447563063,10.036779124215858,9.566980914121201e-5,0.46909343844191975,0.06774866682123812,0.18979828425689776,0.984936268829664
M,17,2278,0.11974554410658829,0.007271248189805312,6.072249488743402,5.287105023774703e-5,0.47780862973246946,0.06007316320684032,0.17885318876988848,0.9818248204795327
M,18,2227,0.0027218632455279904,0.0011299973291215345,41.515580585399185,1.2768939638218016e-6,0.552124994506219,0.0307651738232321,0.23322199270425878,0.9988274421182791
M,19,504,0.0069297432326565385,0.003936336909907279,56.80350307003038,1.5494748268298388e-5,0.5685644192538702,0.04272058201505795,0.22679976313340666,0.9956261137210433
M,20,1402,0.06642725581892457,0.0071042958944086765,10.694850791028344,5.0471020155311975e-5,0.49821189092534646,0.05099303914681653,0.25033527045149756,0.9918972033257748
M,21,1667,0.056106770450764516,0.005707561703031666,10.172679085209928,3.257626059391373e-5,0.49602088402270883,0.05370539334955393,0.22711374695863748,0.9897000404386403
M,22,1073,0.04299141310700942,0.006591297708874321,15.33166098185235,4.344520548701187e-5,0.5195753151957532,0.039440942269409425,0.24581121433311215,0.9921381163084703
M,24,1521,0.0016746591623248526,0.0011649028729454702,69.56059472593151,1.3569987033966104e-6,0.567723783601945,0.033426098657451296,0.23593993700113153,0.9978410031941323
M,3,114,0.01679326967861244,0.011594910666966872,69.04498581198818,1.3444195337494215e-4,0.6208295761947701,0.033363390441839495,0.22272317403065825,0.9952463267070009
M,7,421,0.013873145111605652,0.006108866016217763,44.03374986042177,3.731824400410029e-5,0.6008218373936014,0.04285294980921632,0.19303394971137852,0.9972357258602612
M,8,312,0.010577010095467671,0.0060139526414206765,56.85872082128106,3.6167626373250733e-5,0.5861362266425557,0.03954189270644967,0.21012658227848102,0.9961663568773235
M,9,1113,0.049904890988081915,0.0069810613711198235,13.988731831489247,4.873521786734139e-5,0.48176524670548576,0.05507639770587978,0.1970141412372488,0.9894792428304493
M,99,1364,0.10980766288655915,0.00920053650789052,8.378774546358821,8.464987203302628e-5,0.49841712519785936,0.05841561769804779,0.19329916333760458,0.9868540661492203
